UID          PID    PPID  C STIME TTY          TIME CMD
root           1       0  0 04:01 ?        00:00:12 /sbin/init
root           2       0  0 04:01 ?        00:00:00 [kthreadd]
root           3       2  0 04:01 ?        00:00:00 [rcu_gp]
root           4       2  0 04:01 ?        00:00:00 [rcu_par_gp]
root           5       2  0 04:01 ?        00:00:00 [slub_flushwq]
root           6       2  0 04:01 ?        00:00:00 [netns]
root           8       2  0 04:01 ?        00:00:00 [kworker/0:0H-events_highpri]
root          10       2  0 04:01 ?        00:00:00 [mm_percpu_wq]
root          11       2  0 04:01 ?        00:00:00 [rcu_tasks_rude_]
root          12       2  0 04:01 ?        00:00:00 [rcu_tasks_trace]
root          13       2  0 04:01 ?        00:00:00 [ksoftirqd/0]
root          14       2  0 04:01 ?        00:00:23 [rcu_sched]
root          15       2  0 04:01 ?        00:00:01 [migration/0]
root          16       2  0 04:01 ?        00:00:00 [idle_inject/0]
root          18       2  0 04:01 ?        00:00:00 [cpuhp/0]
root          19       2  0 04:01 ?        00:00:00 [cpuhp/1]
root          20       2  0 04:01 ?        00:00:00 [idle_inject/1]
root          21       2  0 04:01 ?        00:00:01 [migration/1]
root          22       2  0 04:01 ?        00:00:00 [ksoftirqd/1]
root          24       2  0 04:01 ?        00:00:00 [kworker/1:0H-events_highpri]
root          25       2  0 04:01 ?        00:00:00 [cpuhp/2]
root          26       2  0 04:01 ?        00:00:00 [idle_inject/2]
root          27       2  0 04:01 ?        00:00:01 [migration/2]
root          28       2  0 04:01 ?        00:00:00 [ksoftirqd/2]
root          30       2  0 04:01 ?        00:00:00 [kworker/2:0H-events_highpri]
root          31       2  0 04:01 ?        00:00:00 [cpuhp/3]
root          32       2  0 04:01 ?        00:00:00 [idle_inject/3]
root          33       2  0 04:01 ?        00:00:00 [migration/3]
root          34       2  0 04:01 ?        00:00:00 [ksoftirqd/3]
root          36       2  0 04:01 ?        00:00:00 [kworker/3:0H-events_highpri]
root          37       2  0 04:01 ?        00:00:00 [cpuhp/4]
root          38       2  0 04:01 ?        00:00:00 [idle_inject/4]
root          39       2  0 04:01 ?        00:00:00 [migration/4]
root          40       2  0 04:01 ?        00:00:00 [ksoftirqd/4]
root          42       2  0 04:01 ?        00:00:00 [kworker/4:0H-events_highpri]
root          43       2  0 04:01 ?        00:00:00 [cpuhp/5]
root          44       2  0 04:01 ?        00:00:00 [idle_inject/5]
root          45       2  0 04:01 ?        00:00:00 [migration/5]
root          46       2  0 04:01 ?        00:00:00 [ksoftirqd/5]
root          48       2  0 04:01 ?        00:00:00 [kworker/5:0H-events_highpri]
root          49       2  0 04:01 ?        00:00:00 [kdevtmpfs]
root          50       2  0 04:01 ?        00:00:00 [inet_frag_wq]
root          56       2  0 04:01 ?        00:00:00 [kauditd]
root          57       2  0 04:01 ?        00:00:01 [khungtaskd]
root          58       2  0 04:01 ?        00:00:00 [oom_reaper]
root          59       2  0 04:01 ?        00:00:00 [writeback]
root          60       2  0 04:01 ?        00:00:08 [kcompactd0]
root          61       2  0 04:01 ?        00:00:00 [ksmd]
root          62       2  0 04:01 ?        00:00:01 [khugepaged]
root         108       2  0 04:01 ?        00:00:00 [kintegrityd]
root         109       2  0 04:01 ?        00:00:00 [kblockd]
root         110       2  0 04:01 ?        00:00:00 [blkcg_punt_bio]
root         111       2  0 04:01 ?        00:00:00 [tpm_dev_wq]
root         112       2  0 04:01 ?        00:00:00 [ata_sff]
root         113       2  0 04:01 ?        00:00:00 [md]
root         114       2  0 04:01 ?        00:00:00 [edac-poller]
root         115       2  0 04:01 ?        00:00:00 [devfreq_wq]
root         116       2  0 04:01 ?        00:00:00 [watchdogd]
root         118       2  0 04:01 ?        00:00:00 [kworker/1:1H-kblockd]
root         119       2  0 04:01 ?        00:00:00 [kswapd0]
root         120       2  0 04:01 ?        00:00:00 [ecryptfs-kthrea]
root         122       2  0 04:01 ?        00:00:00 [kthrotld]
root         123       2  0 04:01 ?        00:00:00 [irq/49-ACPI:Ged]
root         124       2  0 04:01 ?        00:00:00 [acpi_thermal_pm]
root         126       2  0 04:01 ?        00:00:00 [mld]
root         127       2  0 04:01 ?        00:00:00 [kworker/3:1H-kblockd]
root         128       2  0 04:01 ?        00:00:00 [ipv6_addrconf]
root         137       2  0 04:01 ?        00:00:00 [kstrp]
root         140       2  0 04:01 ?        00:00:00 [zswap-shrink]
root         141       2  0 04:01 ?        00:00:00 [kworker/u13:0]
root         145       2  0 04:01 ?        00:00:00 [cryptd]
root         183       2  0 04:01 ?        00:00:00 [charger_manager]
root         222       2  0 04:01 ?        00:00:00 [kworker/5:1H-kblockd]
root         236       2  0 04:01 ?        00:00:00 [kworker/2:1H-kblockd]
root         241       2  0 04:01 ?        00:00:00 [kworker/0:1H-kblockd]
root         246       2  0 04:01 ?        00:00:00 [kworker/4:1H-kblockd]
root         279       2  0 04:01 ?        00:00:00 [kdmflush]
root         308       2  0 04:01 ?        00:00:00 [raid5wq]
root         357       2  0 04:01 ?        00:00:00 [scsi_eh_0]
root         358       2  0 04:01 ?        00:00:00 [scsi_tmf_0]
root         359       2  0 04:01 ?        00:00:16 [usb-storage]
root         360       2  0 04:01 ?        00:00:00 [uas]
root         373       2  0 04:01 ?        00:00:00 [jbd2/dm-0-8]
root         374       2  0 04:01 ?        00:00:00 [ext4-rsv-conver]
root         410       2  0 04:01 ?        00:00:00 [hwrng]
root         452       1  0 04:01 ?        00:00:04 /lib/systemd/systemd-journald
root         485       2  0 04:01 ?        00:00:00 [kaluad]
root         488       2  0 04:01 ?        00:00:00 [kmpath_rdacd]
root         491       2  0 04:01 ?        00:00:00 [kmpathd]
root         492       2  0 04:01 ?        00:00:00 [kmpath_handlerd]
root         493       1  0 04:01 ?        00:00:24 /sbin/multipathd -d -s
